Date,Evap,,,,,,,,
10/1/1971,0.0771,,,,,,,,
10/2/1971,0.0771,,,,,,,,
10/3/1971,0.0771,,,,,,,,
10/4/1971,0.0771,,,,,,,,
10/5/1971,0.0771,,,,,,,,
10/6/1971,0.0771,,,,,,,,
10/7/1971,0.0771,,,,,,,,
10/8/1971,0.0771,,,,,,,,
10/9/1971,0.0771,,,,,,,,
10/10/1971,0.0771,,,,,,,,
10/11/1971,0.0771,,,,,,,,
10/12/1971,0.0771,,,,,,,,
10/13/1971,0.0771,,,,,,,,
10/14/1971,0.0771,,,,,,,,
10/15/1971,0.0771,,,,,,,,
10/16/1971,0.0771,,,,,,,,
10/17/1971,0.0771,,,,,,,,
10/18/1971,0.0771,,,,,,,,
10/19/1971,0.0771,,,,,,,,
10/20/1971,0.0771,,,,,,,,
10/21/1971,0.0771,,,,,,,,
10/22/1971,0.0771,,,,,,,,
10/23/1971,0.0771,,,,,,,,
10/24/1971,0.0771,,,,,,,,
10/25/1971,0.0771,,,,,,,,
10/26/1971,0.0771,,,,,,,,
10/27/1971,0.0771,,,,,,,,
10/28/1971,0.0771,,,,,,,,
10/29/1971,0.0771,,,,,,,,
10/30/1971,0.0771,,,,,,,,
10/31/1971,0.0771,,,,,,,,
11/1/1971,0.035,,,,,,,,
11/2/1971,0.035,,,,,,,,
11/3/1971,0.035,,,,,,,,
11/4/1971,0.035,,,,,,,,
11/5/1971,0.035,,,,,,,,
11/6/1971,0.035,,,,,,,,
11/7/1971,0.035,,,,,,,,
11/8/1971,0.035,,,,,,,,
11/9/1971,0.035,,,,,,,,
11/10/1971,0.035,,,,,,,,
11/11/1971,0.035,,,,,,,,
11/12/1971,0.035,,,,,,,,
11/13/1971,0.035,,,,,,,,
11/14/1971,0.035,,,,,,,,
11/15/1971,0.035,,,,,,,,
11/16/1971,0.035,,,,,,,,
11/17/1971,0.035,,,,,,,,
11/18/1971,0.035,,,,,,,,
11/19/1971,0.035,,,,,,,,
11/20/1971,0.035,,,,,,,,
11/21/1971,0.035,,,,,,,,
11/22/1971,0.035,,,,,,,,
11/23/1971,0.035,,,,,,,,
11/24/1971,0.035,,,,,,,,
11/25/1971,0.035,,,,,,,,
11/26/1971,0.035,,,,,,,,
11/27/1971,0.035,,,,,,,,
11/28/1971,0.035,,,,,,,,
11/29/1971,0.035,,,,,,,,
11/30/1971,0.035,,,,,,,,
12/1/1971,0.01839,,,,,,,,
12/2/1971,0.01839,,,,,,,,
12/3/1971,0.01839,,,,,,,,
12/4/1971,0.01839,,,,,,,,
12/5/1971,0.01839,,,,,,,,
12/6/1971,0.01839,,,,,,,,
12/7/1971,0.01839,,,,,,,,
12/8/1971,0.01839,,,,,,,,
12/9/1971,0.01839,,,,,,,,
12/10/1971,0.01839,,,,,,,,
12/11/1971,0.01839,,,,,,,,
12/12/1971,0.01839,,,,,,,,
12/13/1971,0.01839,,,,,,,,
12/14/1971,0.01839,,,,,,,,
12/15/1971,0.01839,,,,,,,,
12/16/1971,0.01839,,,,,,,,
12/17/1971,0.01839,,,,,,,,
12/18/1971,0.01839,,,,,,,,
12/19/1971,0.01839,,,,,,,,
12/20/1971,0.01839,,,,,,,,
12/21/1971,0.01839,,,,,,,,
12/22/1971,0.01839,,,,,,,,
12/23/1971,0.01839,,,,,,,,
12/24/1971,0.01839,,,,,,,,
12/25/1971,0.01839,,,,,,,,
12/26/1971,0.01839,,,,,,,,
12/27/1971,0.01839,,,,,,,,
12/28/1971,0.01839,,,,,,,,
12/29/1971,0.01839,,,,,,,,
12/30/1971,0.01839,,,,,,,,
12/31/1971,0.01839,,,,,,,,
1/1/1972,0.02032,,,,,,,,
1/2/1972,0.02032,,,,,,,,
1/3/1972,0.02032,,,,,,,,
1/4/1972,0.02032,,,,,,,,
1/5/1972,0.02032,,,,,,,,
1/6/1972,0.02032,,,,,,,,
1/7/1972,0.02032,,,,,,,,
1/8/1972,0.02032,,,,,,,,
1/9/1972,0.02032,,,,,,,,
1/10/1972,0.02032,,,,,,,,
1/11/1972,0.02032,,,,,,,,
1/12/1972,0.02032,,,,,,,,
1/13/1972,0.02032,,,,,,,,
1/14/1972,0.02032,,,,,,,,
1/15/1972,0.02032,,,,,,,,
1/16/1972,0.02032,,,,,,,,
1/17/1972,0.02032,,,,,,,,
1/18/1972,0.02032,,,,,,,,
1/19/1972,0.02032,,,,,,,,
1/20/1972,0.02032,,,,,,,,
1/21/1972,0.02032,,,,,,,,
1/22/1972,0.02032,,,,,,,,
1/23/1972,0.02032,,,,,,,,
1/24/1972,0.02032,,,,,,,,
1/25/1972,0.02032,,,,,,,,
1/26/1972,0.02032,,,,,,,,
1/27/1972,0.02032,,,,,,,,
1/28/1972,0.02032,,,,,,,,
1/29/1972,0.02032,,,,,,,,
1/30/1972,0.02032,,,,,,,,
1/31/1972,0.02032,,,,,,,,
2/1/1972,0.04214,,,,,,,,
2/2/1972,0.04214,,,,,,,,
2/3/1972,0.04214,,,,,,,,
2/4/1972,0.04214,,,,,,,,
2/5/1972,0.04214,,,,,,,,
2/6/1972,0.04214,,,,,,,,
2/7/1972,0.04214,,,,,,,,
2/8/1972,0.04214,,,,,,,,
2/9/1972,0.04214,,,,,,,,
2/10/1972,0.04214,,,,,,,,
2/11/1972,0.04214,,,,,,,,
2/12/1972,0.04214,,,,,,,,
2/13/1972,0.04214,,,,,,,,
2/14/1972,0.04214,,,,,,,,
2/15/1972,0.04214,,,,,,,,
2/16/1972,0.04214,,,,,,,,
2/17/1972,0.04214,,,,,,,,
2/18/1972,0.04214,,,,,,,,
